,소분류코드,중분류명,소분류명
0,A060143,스포츠,레드페이스
1,A060144,스포츠,에코로바
2,A060145,스포츠,웨스트우드
3,A060146,스포츠,투스카로라
4,A060147,스포츠,아크테릭스
5,A060148,스포츠,몬츄라
6,A060149,스포츠,피엘라벤
7,A060150,스포츠,파타고니아
8,A060151,스포츠,살로몬
9,A060152,스포츠,오클리
10,A060153,스포츠,웍앤톡
11,A060154,스포츠,스노우피크
12,A060155,스포츠,메아리
13,A060156,스포츠,시에라
14,A060157,스포츠,볼레
15,A060158,스포츠,마모트카페(Rodge201)
16,A060159,스포츠,킨
17,A060160,스포츠,레저스포츠 단독매입
18,A060161,스포츠,와이드앵글
19,A060162,스포츠,한성에프아이
20,A060163,스포츠,루이까스텔
21,A060164,스포츠,프레지던츠골프
22,A060165,스포츠,풋조이
23,A060166,스포츠,스포츠의류
24,A060167,스포츠,스포츠화
25,A060168,스포츠,고정행사(스포츠)
26,A060169,스포츠,단기행사(스포츠)
27,A060170,스포츠,영플라자(의류)
28,A060171,스포츠,영플라자(신발)
29,A060172,스포츠,나이키의류
30,A060173,스포츠,아디다스의류
31,A060174,스포츠,나이키화
32,A060175,스포츠,아디다스화
33,A060176,스포츠,뉴발란스아울렛
34,A060177,스포츠,슈즈플러스
35,A060178,스포츠,배드민턴스퀘어
36,A060179,스포츠,아울렛 제일모직
37,A060201,골프용품,N/B골프의류
38,A060202,골프용품,L/C골프의류
39,A060203,골프용품,직수입 골프의류
40,A060204,골프용품,골프용품
41,A060205,골프용품,단기행사(골프)
42,A060206,골프용품,청백
43,A060207,골프용품,아놀드파마
44,A060208,골프용품,닥스골프
45,A060209,골프용품,헤지스골프
46,A060210,골프용품,잭니클라우스
47,A060211,골프용품,엘로드
48,A060212,골프용품,울시
49,A060213,골프용품,레노마골프
50,A060214,골프용품,휠라골프
51,A060215,골프용품,핑
52,A060216,골프용품,팬텀골프
53,A060217,골프용품,슈페리어
54,A060218,골프용품,이동수골프
55,A060219,골프용품,빈폴골프
56,A060220,골프용품,엘르골프
57,A060221,골프용품,캘러웨이
58,A060222,골프용품,타이틀리스트
59,A060223,골프용품,김영주골프
60,A060224,골프용품,JDX골프
61,A060225,골프용품,피가로
62,A060226,골프용품,링스
63,A060227,골프용품,그린조이
64,A060228,골프용품,까스텔바작
65,A060229,골프용품,엠유스포츠
66,A060230,골프용품,보그너
67,A060231,골프용품,아다바트
68,A060232,골프용품,먼싱웨어
69,A060233,골프용품,르꼬끄골프
70,A060234,골프용품,파리게이츠
71,A060235,골프용품,블랙앤화이트
72,A060237,골프용품,아디다스골프
73,A060238,골프용품,폴로골프
74,A060240,골프용품,데상트골프
75,A060241,골프용품,글로벌골프프라자
76,A060242,골프용품,매일통상
77,A060244,골프용품,애드파골프
78,A060245,골프용품,갤러리골프
79,A060247,골프용품,매직스포츠
80,A060248,골프용품,AK골프
81,A060250,골프용품,애플라인드
82,A060251,골프용품,파리게이츠 상품군
83,A070101,대형가전,국산A/V
84,A070102,대형가전,국산냉장고.세탁기
85,A070103,대형가전,수입냉장고
86,A070104,대형가전,수입세탁기
87,A070201,소형가전,가스기기
88,A070202,소형가전,수입청소기 외
89,A070203,소형가전,기능성소품
90,A070302,통신/컴퓨터,컴퓨터
91,A070303,통신/컴퓨터,IT 게임기S/W
92,A070304,통신/컴퓨터,디지털카메라
93,A070401,악기,피아노/악기
94,A070402,악기,악기
95,A070403,악기,음반
96,A070601,주방가전,에어컨
97,A070602,주방가전,전기밥솥
98,A070603,주방가전,수입소형가전
99,A070605,주방가전,김치냉장고
100,A070606,주방가전,건강가전
101,A070607,주방가전,행사
102,A070608,주방가전,에스프레소
103,A080102,명품,수입잡화
104,A080103,명품,수입의류
105,A080105,명품,잡화멀티샵
106,A080106,명품,명품잡화
107,A080107,명품,명품잡화보석
108,A080109,명품,명품잡화행사
109,A080110,명품,디자이너
110,A080112,명품,컨템포러리
111,A080113,명품,명품남성
112,A080115,명품,명품의류기타
113,A080116,명품,명품시계기타
